project,url,sha
OnroerendErfgoed-skosprovider_atramhasis-5edbe65,https://github.com/OnroerendErfgoed/skosprovider_atramhasis,5edbe65
OpenCTI-Platform-client-python-5c5dfa2,https://github.com/OpenCTI-Platform/client-python,5c5dfa2
OpenMPDK-KVCeph-1f88576,https://github.com/OpenMPDK/KVCeph,1f88576
PRIDE-Archive-pridepy-750938f,https://github.com/PRIDE-Archive/pridepy,750938f
PacktPublishing-Expert-Python-Programming_Second-Edition-2ccdbd3,https://github.com/PacktPublishing/Expert-Python-Programming_Second-Edition,2ccdbd3
PacktPublishing-Mastering-Object-Oriented-Python-Second-Edition-f6d6517,https://github.com/PacktPublishing/Mastering-Object-Oriented-Python-Second-Edition,f6d6517
PaloAltoNetworks-xsoar-panos-upgrade-automation-ef65687,https://github.com/PaloAltoNetworks/xsoar-panos-upgrade-automation,ef65687
Parmeggiani-Lab-elfin-3c5c97c,https://github.com/Parmeggiani-Lab/elfin,3c5c97c
Parsely-streamparse-aabd9d0,https://github.com/Parsely/streamparse,aabd9d0
ParthD971-NewsWebsite-0f8a7ce,https://github.com/ParthD971/NewsWebsite,0f8a7ce
PaulMcInnis-JobFunnel-245a359,https://github.com/PaulMcInnis/JobFunnel,245a359
PennLINC-fw-heudiconv-ad06d0e,https://github.com/PennLINC/fw-heudiconv,ad06d0e
Prasun6736-MLOPS-BASIC-25ca152,https://github.com/Prasun6736/MLOPS-BASIC,25ca152
Preia-Starle-casino-war-game-1c33e03,https://github.com/Preia-Starle/casino-war-game,1c33e03
QualiSystemsLab-cloudshell-scriptfoundry-218d48e,https://github.com/QualiSystemsLab/cloudshell-scriptfoundry,218d48e
QuarkChain-pyquarkchain-242ce0a,https://github.com/QuarkChain/pyquarkchain,242ce0a
R3tr074-Burn-Byte-6e82aa2,https://github.com/R3tr074/Burn-Byte,6e82aa2
Rav263-python_chess-a09e4ea,https://github.com/Rav263/python_chess,a09e4ea
ReaJason-xhs-eb1c5a0,https://github.com/ReaJason/xhs,eb1c5a0
RedHatProductSecurity-osidb-bindings-f3d528a,https://github.com/RedHatProductSecurity/osidb-bindings,f3d528a
RelevanceAI-vectorhub-5466bb4,https://github.com/RelevanceAI/vectorhub,5466bb4
RetailMeNotSandbox-dartclient-0a93fd7,https://github.com/RetailMeNotSandbox/dartclient,0a93fd7
RicardoEscobar-core-ai-ba8d77b,https://github.com/RicardoEscobar/core-ai,ba8d77b
Ritupds-DockerImagehub-09eee15,https://github.com/Ritupds/DockerImagehub,09eee15
Rodrigo001-dev-ignite-python-46f1c07,https://github.com/Rodrigo001-dev/ignite-python,46f1c07
RookieGameDevs-revived-b98dbc6,https://github.com/RookieGameDevs/revived,b98dbc6
SACLabs-TransWorldNG-906c928,https://github.com/SACLabs/TransWorldNG,906c928
SAP-project-kb-312e910,https://github.com/SAP/project-kb,312e910
SBRG-ssbio-08c1ce3,https://github.com/SBRG/ssbio,08c1ce3
SODALITE-EU-defect-prediction-3d69fd2,https://github.com/SODALITE-EU/defect-prediction,3d69fd2
SSC-ICT-Innovatie-LearningLion-cb519fb,https://github.com/SSC-ICT-Innovatie/LearningLion,cb519fb
STAMP-project-camp-e8652dd,https://github.com/STAMP-project/camp,e8652dd
SaILaIDiN-Spine-Detection-with-CNNs-bdbf10b,https://github.com/SaILaIDiN/Spine-Detection-with-CNNs,bdbf10b
Saket-Upadhyay-SkyDaddy-85ef438,https://github.com/Saket-Upadhyay/SkyDaddy,85ef438
Samsung-LexSubGen-7d49693,https://github.com/Samsung/LexSubGen,7d49693
Santandersecurityresearch-corsair_scan-35428a7,https://github.com/Santandersecurityresearch/corsair_scan,35428a7
SasView-sasdata-ff06923,https://github.com/SasView/sasdata,ff06923
Sasuke0713-common_words_python-9c5ab2f,https://github.com/Sasuke0713/common_words_python,9c5ab2f
SavindraSinghShekhawat-iitmbsvideosdownloader-03a8527,https://github.com/SavindraSinghShekhawat/iitmbsvideosdownloader,03a8527
Sayantan40-Big-Mart-Stores-Sales-Prediction-35b92d6,https://github.com/Sayantan40/Big-Mart-Stores-Sales-Prediction,35b92d6
Sayantan40-Thyroid-Disease-Detection-3aef75a,https://github.com/Sayantan40/Thyroid-Disease-Detection,3aef75a
SciKit-Surgery-scikit-surgerynditracker-c52694f,https://github.com/SciKit-Surgery/scikit-surgerynditracker,c52694f
ScreenPyHQ-screenpy_adapter_allure-457e850,https://github.com/ScreenPyHQ/screenpy_adapter_allure,457e850
SeolhwaLee-ParlAI_blender_persona-7f5645b,https://github.com/SeolhwaLee/ParlAI_blender_persona,7f5645b
Serenity-Energy-Utility-d56b850,https://github.com/Serenity-Energy/Utility,d56b850
Sethjsa-LLM-Dom-Ad-d2a7be5,https://github.com/Sethjsa/LLM-Dom-Ad,d2a7be5
ShaderLight-shinden.py-5eeef7b,https://github.com/ShaderLight/shinden.py,5eeef7b
ShirleyMaxx-AlphaChimp-9c642ab,https://github.com/ShirleyMaxx/AlphaChimp,9c642ab
ShishirPatil-gorilla-eca516a,https://github.com/ShishirPatil/gorilla,eca516a
SigmaFold-SigmaFold-90fbe81,https://github.com/SigmaFold/SigmaFold,90fbe81
Sigmanificient-codewars-58211b5,https://github.com/Sigmanificient/codewars,58211b5
SiliconSloth-ADNC-24e8778,https://github.com/SiliconSloth/ADNC,24e8778
SixGod191001-CEDC-57612f5,https://github.com/SixGod191001/CEDC,57612f5
